City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Current Description
74,Hokitika,NZ,-42.7167,170.9667,53.65,72,33,1.9,2021-10-19 20:54:48,scattered clouds
75,Cape Town,ZA,-33.9258,18.4232,64.81,58,0,9.22,2021-10-19 20:54:51,clear sky
76,Khatanga,RU,71.9667,102.5,29.17,96,100,15.5,2021-10-19 20:51:28,light snow
77,La Reforma,MX,25.0833,-108.05,95.74,52,69,11.61,2021-10-19 20:51:40,broken clouds
78,Faya,SA,18.3851,42.4509,63.12,26,16,6.82,2021-10-19 20:50:03,few clouds
79,Gat,IL,31.61,34.7642,70.48,68,23,3.71,2021-10-19 20:49:02,few clouds
80,Tuktoyaktuk,CA,69.4541,-133.0374,19.4,100,40,10.36,2021-10-19 20:50:34,fog
81,Priupskiy,RU,53.9096,37.736,35.49,78,97,11.3,2021-10-19 20:55:09,light rain
82,Boma,GH,7.0805,-2.1697,73.24,98,100,2.68,2021-10-19 20:55:11,light rain
83,Hilo,US,19.7297,-155.09,79.25,77,75,5.75,2021-10-19 20:47:18,broken clouds
84,Salina,US,38.8403,-97.6114,80.26,47,1,11.01,2021-10-19 20:50:36,clear sky
85,Adrar,MR,20.5022,-10.0711,83.19,11,2,11.32,2021-10-19 20:48:31,clear sky
86,Mecca,SA,21.4267,39.8261,83.75,46,0,4.03,2021-10-19 20:51:57,clear sky
87,Nanortalik,GL,60.1432,-45.2371,38.55,57,0,2.33,2021-10-19 20:50:49,clear sky
88,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,82.15,23,0,7.0,2021-10-19 20:55:25,clear sky
89,Lebu,CL,-37.6167,-73.65,58.32,78,2,10.42,2021-10-19 20:52:39,clear sky
90,Tautira,PF,-17.7333,-149.15,86.02,77,99,15.32,2021-10-19 20:51:42,light rain
91,Rincon,US,32.296,-81.2354,79.25,61,0,2.26,2021-10-19 20:55:32,clear sky
92,Brownsville,US,25.9018,-97.4975,87.03,57,95,5.99,2021-10-19 20:55:34,overcast clouds
93,Saint-Philippe,RE,-21.3585,55.7679,72.99,75,17,7.25,2021-10-19 20:50:52,few clouds
94,Tomatlan,MX,19.9333,-105.25,89.51,62,16,9.35,2021-10-19 20:55:39,few clouds
95,Ribeira Grande,PT,38.5167,-28.7,68.4,73,40,12.66,2021-10-19 20:55:41,scattered clouds
96,Burnie,AU,-41.0667,145.9167,49.95,61,5,11.9,2021-10-19 20:55:44,clear sky
97,Provideniya,RU,64.3833,-173.3,33.91,75,75,13.42,2021-10-19 20:49:59,light rain
98,Mae Hong Son,TH,19.3003,97.9685,72.95,99,100,0.45,2021-10-19 20:55:48,overcast clouds
99,Arlit,NE,18.7369,7.3853,91.94,12,100,1.48,2021-10-19 20:51:57,overcast clouds
100,Alice Town,BS,25.7167,-79.3,78.69,60,49,16.78,2021-10-19 20:55:53,scattered clouds
101,Half Moon Bay,US,37.4636,-122.4286,73.06,51,75,3.0,2021-10-19 20:55:56,broken clouds
102,Bengkulu,ID,-3.8004,102.2655,75.4,90,80,4.21,2021-10-19 20:49:17,broken clouds
103,Porto Novo,BJ,6.4965,2.6036,82.22,80,50,7.18,2021-10-19 20:56:00,scattered clouds
104,Carutapera,BR,-1.195,-46.02,81.59,73,50,9.13,2021-10-19 20:53:14,scattered clouds
105,Lang Son,VN,21.8333,106.7333,70.21,96,100,2.17,2021-10-19 20:56:05,overcast clouds
106,Bluff,NZ,-46.6,168.3333,48.81,61,93,7.87,2021-10-19 20:49:39,overcast clouds
