City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
462,Harqalah,TN,69.66,few clouds,36.0303,10.509,Dar Khadija
466,Hailey,US,57.06,clear sky,43.5196,-114.3153,Wood River Inn & Suites
467,Rabo De Peixe,PT,65.71,few clouds,37.8,-25.5833,Quinta das Giestas
468,Castro Daire,PT,63.59,broken clouds,40.8984,-7.9338,Alvores do Tempo - Quinta de Turismo Rural
474,Westport,US,68.05,clear sky,41.1415,-73.3579,The Westport Inn
477,Luchow,DE,59.59,overcast clouds,52.9667,11.15,Hotel Am Glockenturm
479,Paita,PE,72.16,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
480,Goderich,CA,67.91,scattered clouds,43.7501,-81.7165,Harmony Inn
481,North Bend,US,62.15,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
487,Calbuco,CL,67.21,scattered clouds,-41.768,-73.1273,Hotel Colonial
488,Dalbandin,PK,69.42,clear sky,28.8947,64.4101,Gidaan Guest House
493,Temba,ZA,64.11,clear sky,-25.3803,28.2631,Gene's Guesthouse
496,Bambamarca,PE,60.57,light rain,-6.6833,-78.5333,Leudes
498,San Jose,US,72.01,broken clouds,37.3394,-121.895,The Westin San Jose
501,Comodoro Rivadavia,AR,66.06,clear sky,-45.8667,-67.5,Austral Hotel
502,Kruisfontein,ZA,58.89,clear sky,-34.0033,24.7314,Oyster Bay House Rental
506,Ahipara,NZ,62.2,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
510,Naze,JP,68.74,overcast clouds,28.3667,129.4833,オーベルジュ・アガルイ
516,Vila Velha,BR,73.35,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
518,Charters Towers,AU,73.53,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
523,Karoi,ZW,65.55,scattered clouds,-16.8099,29.6925,Chikangwe Guest houses
524,Oyama,JP,59.59,few clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
528,Richards Bay,ZA,58.95,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
529,Los Llanos De Aridane,ES,71.35,clear sky,28.6585,-17.9182,Valle Aridane
530,Griffith,US,73.04,clear sky,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
531,Santa Maria,BR,66.06,clear sky,-29.6842,-53.8069,Hotel Morotin
532,Dawei,MM,74.7,scattered clouds,14.0833,98.2,Hotel Dawei
536,Broken Hill,AU,56.46,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
538,Kiunga,PG,73.22,heavy intensity rain,-6.1219,141.2906,Airport Lodge Kiunga
540,Qidong,CN,60.04,light rain,31.8128,121.6561,Hilton Garden Inn Qidong
542,Waiuku,NZ,64.09,overcast clouds,-37.25,174.75,Waiuku Lodge Motel
544,Muroto,JP,61.86,overcast clouds,33.2833,134.15,Oota Ryokan
546,Seddon,AU,56.79,few clouds,-37.8068,144.8916,Footscray Motor Inn
549,Mulanje,MW,68.18,broken clouds,-16.0316,35.5,Mulanje Motel
551,Katobu,ID,74.55,broken clouds,-4.9408,122.5276,La Ode Husein
553,Santana Do Livramento,BR,65.12,overcast clouds,-30.8908,-55.5328,Hotel Emirates
557,Mathathane,BW,55.94,overcast clouds,-22.2687,28.7495,Selepswe Resort
559,Espanola,US,67.28,clear sky,35.9911,-106.0806,Santa Claran Hotel Casino
562,Gidole,ET,60.1,overcast clouds,5.65,37.3667,Shallom mekaneyesus church
564,Bani Walid,LY,66.9,broken clouds,31.7566,13.9942,منزل الصابر أبوفانة
567,Mitchell,US,71.58,clear sky,43.7094,-98.0298,Kelly Inn & Suites
568,Vao,NC,73.26,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
569,Xam Nua,LA,63.3,overcast clouds,20.4197,104.0439,Xee Wang Guesthouse
582,Laguna,US,71.22,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
586,Abu Kamal,SY,72.07,clear sky,34.4506,40.9171,محطة التلفاز
590,Torbat-E Jam,IR,55.81,clear sky,35.244,60.6225,White building
591,Bud,US,69.22,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
592,Tanete,ID,74.44,broken clouds,-3.9443,119.7848,Wisma Tri Multi
593,Anshun,CN,61.97,overcast clouds,26.25,105.9333,安顺麦吉风格酒店
597,Antofagasta,CL,60.08,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
598,Mehran,IR,65.68,clear sky,33.1222,46.1646,بوتیک زنانه بهار
599,Swellendam,ZA,57.49,clear sky,-34.0226,20.4417,De Kloof Luxury Estate boutique Hotel & SPA
600,Mahebourg,MU,72.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
602,Tonj,SS,73.96,broken clouds,7.2737,28.6822,Lakan Hotel
605,Zoniana,GR,59.05,clear sky,35.295,24.8294,Archontiko Manias
608,Mankapur,IN,74.44,overcast clouds,27.0333,82.2333,Shanti palace staying restrorent
611,Babina,IN,73.29,broken clouds,25.25,78.4667,Padri baba mandir
613,Fethiye,TR,60.67,clear sky,36.6217,29.1164,Club & Hotel Letoonia
617,Murray Bridge,AU,64.45,overcast clouds,-35.1167,139.2667,Balcony On Sixth Lodge
618,Filadelfia,US,70.2,clear sky,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
620,Huarmey,PE,68.05,overcast clouds,-10.0681,-78.1522,Hotel Miramar
622,Rawson,AR,67.8,clear sky,-43.3002,-65.1023,Hosteria Sampedro
625,Capao Da Canoa,BR,63.39,scattered clouds,-29.7456,-50.0097,Hotel Araçá
628,Florianopolis,BR,66.43,overcast clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
630,Amboasary,MG,71.44,light rain,-25.0333,46.3833,DISCOVERY AMBOASARY
640,Middelburg,ZA,55.09,broken clouds,-25.7751,29.4648,Oregon Place Guest House
648,Sakakah,SA,72.97,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
651,Sungaipenuh,ID,64.24,overcast clouds,-2.0833,101.3833,penginapan citra alam
655,Redmond,US,64.24,few clouds,47.674,-122.1215,Seattle Marriott Redmond
656,Barabai,ID,73.63,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
657,Camabatela,AO,63.39,light rain,-8.1881,15.375,Pensão E Restaurantes
659,Allapalli,IN,71.26,overcast clouds,19.4167,80.0667,"Hotel IK Residency, GUEST HOUSE AC NON AC"
665,Taltal,CL,62.76,scattered clouds,-25.4,-70.4833,Residencial Karime
667,Wittstock,DE,59.54,overcast clouds,53.1612,12.4829,Hotel Stadt Wittstock
