City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Dumas,US,2021-10-17 07:42:29,35.8656,-101.9732,51.66,53,1,10.36
59,Airai,TL,2021-10-17 07:42:32,-8.9266,125.4092,68.61,77,97,1.92
60,Mantua,IT,2021-10-17 07:42:34,45.1667,10.7833,59.34,84,0,3.78
61,Barrow,US,2021-10-17 07:42:37,71.2906,-156.7887,21.22,68,90,10.36
62,Poum,NC,2021-10-17 07:42:39,-20.2333,164.0167,76.19,80,100,12.33
63,Rio Grande,BR,2021-10-17 07:42:42,-32.035,-52.0986,53.28,64,1,4.61
64,Wukari,NG,2021-10-17 07:42:44,7.85,9.7833,80.28,77,100,3.53
65,Hofn,IS,2021-10-17 07:42:46,64.2539,-15.2082,34.52,77,100,12.21
66,Tulsipur,NP,2021-10-17 07:42:49,28.131,82.2973,86.05,56,46,5.75
67,Pilar,BR,2021-10-17 07:42:54,-9.5972,-35.9567,75.13,89,89,5.23
68,Hambantota,LK,2021-10-17 07:42:56,6.1241,81.1185,89.94,66,40,21.85
69,Ola,RU,2021-10-17 07:42:59,59.5833,151.2833,21.7,49,45,18.34
70,Norman Wells,CA,2021-10-17 07:43:01,65.282,-126.8329,26.64,93,90,12.66
71,Farrukhnagar,IN,2021-10-17 07:43:04,17.0778,78.2011,84.81,66,86,10.87
72,Hermanus,ZA,2021-10-17 07:43:02,-34.4187,19.2345,56.8,70,69,12.62
73,Padang,ID,2021-10-17 07:43:10,-0.9492,100.3543,80.65,74,100,5.59
74,Qaanaaq,GL,2021-10-17 07:43:13,77.484,-69.3632,23.86,93,100,9.44
75,Kaeo,NZ,2021-10-17 07:43:15,-35.1,173.7833,62.33,96,100,14.27
76,Ancud,CL,2021-10-17 07:43:18,-41.8697,-73.8203,42.42,91,8,4.34
77,Atuona,PF,2021-10-17 07:43:20,-9.8,-139.0333,77.74,79,16,16.73
78,Bengkulu,ID,2021-10-17 07:43:23,-3.8004,102.2655,82.9,76,100,5.14
79,Brae,GB,2021-10-17 07:43:26,60.3964,-1.353,46.31,70,86,7.72
80,San Cristobal,VE,2021-10-17 07:43:28,7.7669,-72.225,66.36,99,100,1.01
81,Bhimunipatnam,IN,2021-10-17 07:43:31,17.8833,83.4333,85.51,73,91,5.77
82,The Pas,CA,2021-10-17 07:43:33,53.8251,-101.2541,37.42,75,1,3.44
83,Bermeo,ES,2021-10-17 07:43:36,43.4209,-2.7215,64.6,85,99,8.72
84,Toora-Khem,RU,2021-10-17 07:43:38,52.4675,96.11,44.73,31,3,1.52
85,Clyde River,CA,2021-10-17 07:43:43,70.4692,-68.5914,25.39,86,63,13.27
86,Katobu,ID,2021-10-17 07:43:46,-4.9408,122.5276,83.64,74,77,2.86
87,Henties Bay,NA,2021-10-17 07:43:48,-22.116,14.2845,57.85,68,0,3.15
